N,auto,dynamic,guided,static
61,41.54545454545455,114.9090909090909,59.72727272727273,49.18181818181818
62,66.36363636363636,141.1818181818182,70.81818181818181,60.72727272727273
63,61.0,95.27272727272727,73.0,88.63636363636364
64,76.45454545454545,93.36363636363636,76.54545454545455,94.63636363636364
65,113.45454545454545,172.1818181818182,92.36363636363636,54.63636363636363
66,82.45454545454545,134.0909090909091,78.81818181818181,50.27272727272727
67,70.81818181818181,106.72727272727273,104.9090909090909,58.36363636363637
68,65.72727272727273,147.45454545454547,76.0,91.9090909090909
69,104.54545454545455,168.72727272727272,98.9090909090909,104.45454545454545
70,102.0909090909091,107.36363636363636,116.0,81.54545454545455
71,120.0,223.27272727272728,80.54545454545455,79.72727272727273
72,70.36363636363636,149.54545454545453,85.72727272727273,59.81818181818182
73,98.63636363636364,148.72727272727272,95.72727272727273,105.63636363636364
74,141.63636363636363,216.36363636363637,129.36363636363637,104.54545454545455
75,116.0909090909091,131.0,121.0,106.45454545454545
76,79.81818181818181,217.8181818181818,107.36363636363636,88.81818181818181
77,127.54545454545455,187.54545454545453,133.54545454545453,102.54545454545455
78,135.1818181818182,181.72727272727272,158.27272727272728,122.54545454545455
79,132.0909090909091,215.0909090909091,87.9090909090909,110.45454545454545
80,99.18181818181819,171.45454545454547,126.72727272727273,114.81818181818181
81,218.45454545454547,248.63636363636363,163.0909090909091,83.81818181818181
82,119.63636363636364,162.1818181818182,121.27272727272727,140.0909090909091
83,109.72727272727273,260.09090909090907,119.54545454545455,119.36363636363636
84,187.54545454545453,195.0909090909091,189.8181818181818,126.9090909090909
85,165.0,287.6363636363636,119.18181818181819,124.72727272727273
86,137.54545454545453,171.54545454545453,143.0,150.27272727272728
87,236.9090909090909,352.8181818181818,201.45454545454547,130.1818181818182
88,138.0909090909091,214.8181818181818,152.54545454545453,120.0
89,187.54545454545453,290.54545454545456,207.8181818181818,175.72727272727272
90,198.0909090909091,241.8181818181818,168.9090909090909,161.45454545454547
91,190.63636363636363,261.3636363636364,163.8181818181818,143.1818181818182
92,233.36363636363637,309.3636363636364,222.54545454545453,190.63636363636363
93,177.27272727272728,242.27272727272728,175.45454545454547,165.9090909090909
94,235.1818181818182,318.8181818181818,231.63636363636363,211.0
95,192.8181818181818,324.09090909090907,182.1818181818182,171.45454545454547
96,231.0909090909091,254.1818181818182,250.45454545454547,176.27272727272728
97,205.54545454545453,330.1818181818182,190.0,202.9090909090909
98,251.8181818181818,324.0,248.0,156.72727272727272
99,214.36363636363637,275.1818181818182,200.27272727272728,237.36363636363637
100,281.72727272727275,355.90909090909093,300.45454545454544,176.45454545454547
