POOL TYPE,MATRIX SORT,MATRIX TYPE,#,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
static,RO,table,10,37,32,49,32,33,33,31,31,31,28,48,28,31,33,77,47,40,46,50,54,100,168,63,181,187,128,465,378,416,508,169,575,104,451,605,471,296,730,731,872,674,1236,192,617,1006,217,1168,962,231,490,631,977,1121,888,1411,739,1705,330,1853,1605,1583,1984,1996,1642,2251,722,1888,2456,746,2009,2242,2807,1811,2391,2508,2374,1696,2568,691,3489,2740,1351,2021,3879,902,3137,1186,4160,3353,3614,971,1863,4324,4142,4707,4903,5053,3803,5922
static,RO,table,11,54,34,31,31,29,33,57,32,38,28,26,34,54,41,34,43,80,141,153,141,171,60,60,70,63,81,360,385,240,269,554,395,443,116,123,121,124,590,811,763,717,315,278,1006,204,924,316,282,1587,264,557,667,1060,1640,245,416,1654,1487,2335,715,1791,2483,2067,1163,2181,500,1768,1796,2723,1820,2220,1245,2854,2324,2162,622,3198,2565,688,3199,3694,841,2957,3019,3224,3394,3667,3301,2859,2622,2335,2151,2479,5036,3216,1168,4170,5122,4690
static,RO,table,12,56,32,31,30,30,34,36,31,30,33,34,33,93,37,72,82,95,91,99,57,372,67,67,212,78,287,85,76,82,323,236,98,127,345,465,126,600,165,892,559,144,744,775,793,1085,179,667,248,939,769,304,1437,1561,870,752,856,1658,1644,1879,2422,2049,592,400,984,2233,754,1586,2156,557,2535,2296,2348,2398,2461,1995,2177,2915,3415,3624,868,856,3045,1419,1590,1007,1786,4259,887,3605,854,1218,3608,4951,2139,3553,1570,2390,4746,4762
static,RO,table,13,52,33,33,30,32,30,31,31,30,32,28,35,49,60,45,105,50,77,169,91,263,73,194,228,217,335,374,400,85,92,99,640,360,516,789,118,503,303,635,161,291,441,681,158,437,464,949,1403,989,271,1178,1236,1417,1240,1551,1605,1725,1118,2443,1267,1597,954,1792,1824,1852,461,2391,1490,1288,2189,2283,2506,2781,2405,4538,2795,2641,3207,1537,2116,674,2666,941,3137,1247,1863,2015,1972,1067,2351,3848,1389,1984,1437,1244,2143,4615,4832,5615
static,RO,table,14,49,69,40,32,30,27,26,29,27,38,31,36,36,46,40,58,52,181,226,134,214,167,77,68,70,219,353,308,101,106,489,103,98,355,121,129,147,437,156,849,311,177,850,542,221,905,649,1480,247,1102,1542,224,1180,1486,1263,1271,1315,341,1698,1871,1992,2146,1483,1824,1693,1888,514,2412,3592,2107,2241,2804,850,2298,2707,2983,2717,3708,2341,3366,3357,680,1495,3678,2731,3157,3139,796,858,2892,3929,1734,1014,4271,3603,5047,5354,1831,4470
static,RO,table,15,40,51,34,32,33,30,30,31,38,29,51,35,37,36,40,76,71,50,216,122,218,54,202,182,68,228,352,256,238,332,388,113,122,549,442,359,573,535,558,273,634,431,661,174,207,223,1225,705,1068,238,1056,1141,269,1485,866,563,1421,1704,1564,774,1376,446,430,1419,1598,1971,1138,2136,1627,536,2467,2238,1545,1830,2460,2593,2251,2546,2688,1218,3498,2881,3682,1064,2948,1308,1926,1829,3056,1975,2038,867,4615,1976,3782,4051,4376,3869,1202
static,RO,table,16,51,17,36,31,32,30,39,31,28,42,34,30,39,43,86,50,70,43,45,99,233,175,224,229,299,111,77,355,335,121,341,388,406,401,658,460,146,1020,174,532,1128,321,1305,980,173,202,654,700,951,1190,366,1979,1260,1065,1104,1671,1005,1817,416,2078,1995,2029,1033,1116,3023,1487,1333,2409,2090,675,2013,2729,2170,2234,1405,2523,2693,891,707,3893,2939,3319,2708,4008,1256,3167,3213,1227,4365,3523,3484,3410,4544,2562,3735,4139,1595,1139,3075
static,RO,vector,1,36,58,34,30,40,33,30,29,33,30,56,56,44,46,46,136,83,174,271,74,51,55,163,153,68,292,324,76,316,320,370,107,119,581,104,421,658,559,669,821,935,829,195,1048,218,1493,1412,237,233,262,1595,240,1151,1944,319,1637,1346,1286,331,1146,1957,1869,2319,1703,2025,2127,477,1845,2679,3264,1568,2380,2405,2943,948,1645,2751,724,2832,3385,3112,3683,3442,2580,4041,801,4613,3102,3346,3565,3727,4727,4958,5558,4625,2480,3923,1470,5200
static,RO,vector,2,46,45,34,30,30,28,38,31,30,27,31,61,33,34,38,39,63,81,49,190,195,62,63,269,366,300,301,226,88,85,96,100,733,120,449,348,420,698,711,270,1149,667,206,1031,619,194,833,237,1028,278,1046,500,1310,1627,1209,842,2083,1481,1704,393,526,1825,1073,1677,2146,2317,1701,3183,2933,1262,2602,714,682,2898,2098,2677,1913,1192,1353,4693,3635,2573,1420,1510,2558,3909,972,3438,1234,3128,4813,3360,5152,2980,2193,4545,4986,4560,1448
static,RO,vector,3,77,30,31,33,32,30,34,44,37,31,32,32,50,50,57,51,43,127,144,209,52,107,195,195,69,306,173,364,514,93,371,117,129,518,960,831,599,563,478,155,160,894,433,178,437,1001,898,669,1655,1327,1514,249,993,301,1573,1734,451,878,746,1114,2070,2138,1426,2257,1843,629,496,1750,2139,2464,2135,2123,2361,2845,3431,2514,3296,1861,867,3020,4247,2943,2825,1695,2401,3556,3043,2784,3943,1319,4772,2529,1923,3991,3993,4834,4595,5128,1947
